"","yie_react","SCREEN_ID","NOTEBOOK_ID","REACTION_ID","KeyWord_STD","ReactionGroup","RXN_SMILES","PCAT_CMPD_ID","PRODUCT_STRUCTURE","Product_Yield_PCT_Area_UV","Product_UV_Analysis_Wavelength_nm","Product_Yield_Mass_Ion_Count","Product_Selectivity","Solvent_1_Name","Reaction_T","Reaction_Time_hrs","Catalyst_1_eq","Catalyst_1_ID.1.","catalyst_1_ID_1_SMILES","Catalyst_1_ID.2.","catalyst_1_ID_2_SMILES","Catalyst_1_Short_Hand","Catalyst_2_eq","Catalyst_2_ID.1.","catalyst_2_ID_1_SMILES","Catalyst_2_ID.2.","catalyst_2_ID_2_SMILES","Catalyst_2_Short_Hand","Reactant_1_eq","Reactant_1_ID","Reactant_1_SMILES","Reactant_2_eq","Reactant_2_ID","reactant_2_SMILES","Reactant_3_eq","Reactant_3_ID","reactant_3_SMILES","Reagent_1_eq","Reagent_1_ID","Reagent_1_Short_Hand","Reagent_2_eq","Reagent_2_ID","Reagent_2_Short_Hand","ReactionClass","react_1_canon","react_2_canon","halide","nuc","catalyst","ligand"
"1","97__PF-05314903__MFCD03419272__","SCRN_298","00119131-2673","RKB-03997369","BUCHWALD","Metal Mediated","Br[c:1]1[n:9][c:8]([c:4]2[cH:3][cH:2]1)[cH:7]c[cH:6][c:5]2[C:10]#[N:11].[CH3:12][C:13]([O:16][C:17]([N:19]1[CH2:24][C@H:22]([NH2:23])[CH2:21][CH2:20]1)=[O:18])([CH3:15])[CH3:14]>>[CH3:12][C:13]([O:16][C:17]([N:19]1[CH2:24][C@H:22]([NH:23][c:4]2[cH:10][n:11][c:1]([N:9]3[CH2:6][CH2:5]O[CH2:7][CH2:8]3)[cH:2][cH:3]2)[CH2:21][CH2:20]1)=[O:18])([CH3:15])[CH3:14]","PF-07093146","CC(C)(C)OC(=O)N1CC[C@H](C1)Nc2ccc(nc2)N3CCOCC3",97,254,158883.302107419,"","Dioxane",120,NA,0.125,"","","MFCD22572666","c1(c(c(ccc1OC)OC)P(C1CCCCC1)C1CCCCC1)c1c(cc(cc1C(C)C)C(C)C)C(C)C.c1(ccccc1c1ccccc1N)[Pd+].[O-]S(C)(=O)=O","",0.125,"MFCD22572666","c1(c(c(ccc1OC)OC)P(C1CCCCC1)C1CCCCC1)c1c(cc(cc1C(C)C)C(C)C)C(C)C.c1(ccccc1c1ccccc1N)[Pd+].[O-]S(C)(=O)=O",NA,NA,"3G OMs BrettPhos",1,"PF-05314903","c1cc(c2c(c1)nc(cc2)Br)C#N",1,"MFCD03419272","N1(C[C@@H](CC1)N)C(OC(C)(C)C)=O",NA,NA,NA,NA,"MFCD00064808","KOtPn",NA,"","","Pd coupling","N#Cc1cccc2nc(Br)ccc12","CC(C)(C)OC(=O)N1CC[C@@H](N)C1","N#Cc1cccc2nc(Br)ccc12","CC(C)(C)OC(=O)N1CC[C@@H](N)C1","c1(c(c(ccc1OC)OC)P(C1CCCCC1)C1CCCCC1)c1c(cc(cc1C(C)C)C(C)C)C(C)C.c1(ccccc1c1ccccc1N)[Pd+].[O-]S(C)(=O)=O",""
"2","96__PF-05314903__MFCD03419272__","SCRN_298","00119131-2673","RKB-03997370","BUCHWALD","Metal Mediated","Br[c:1]1[n:9][c:8]([c:4]2[cH:3][cH:2]1)[cH:7]c[cH:6][c:5]2[C:10]#[N:11].[CH3:12][C:13]([O:16][C:17]([N:19]1[CH2:24][C@H:22]([NH2:23])[CH2:21][CH2:20]1)=[O:18])([CH3:15])[CH3:14]>>[CH3:12][C:13]([O:16][C:17]([N:19]1[CH2:24][C@H:22]([NH:23][c:4]2[cH:10][n:11][c:1]([N:9]3[CH2:6][CH2:5]O[CH2:7][CH2:8]3)[cH:2][cH:3]2)[CH2:21][CH2:20]1)=[O:18])([CH3:15])[CH3:14]","PF-07093146","CC(C)(C)OC(=O)N1CC[C@H](C1)Nc2ccc(nc2)N3CCOCC3",96,254,143607.498285105,"","Dioxane",120,NA,0.125,"","","MFCD22572666","c1(c(c(ccc1OC)OC)P(C1CCCCC1)C1CCCCC1)c1c(cc(cc1C(C)C)C(C)C)C(C)C.c1(ccccc1c1ccccc1N)[Pd+].[O-]S(C)(=O)=O","",0.125,"MFCD22572666","c1(c(c(ccc1OC)OC)P(C1CCCCC1)C1CCCCC1)c1c(cc(cc1C(C)C)C(C)C)C(C)C.c1(ccccc1c1ccccc1N)[Pd+].[O-]S(C)(=O)=O",NA,NA,"3G OMs BrettPhos",1,"PF-05314903","c1cc(c2c(c1)nc(cc2)Br)C#N",1,"MFCD03419272","N1(C[C@@H](CC1)N)C(OC(C)(C)C)=O",NA,NA,NA,NA,"MFCD00064808","KOtPn",NA,"","","Pd coupling","N#Cc1cccc2nc(Br)ccc12","CC(C)(C)OC(=O)N1CC[C@@H](N)C1","N#Cc1cccc2nc(Br)ccc12","CC(C)(C)OC(=O)N1CC[C@@H](N)C1","c1(c(c(ccc1OC)OC)P(C1CCCCC1)C1CCCCC1)c1c(cc(cc1C(C)C)C(C)C)C(C)C.c1(ccccc1c1ccccc1N)[Pd+].[O-]S(C)(=O)=O",""
"3","96__PF-05314903__MFCD03419272__","SCRN_298","00119131-2673","RKB-03997371","BUCHWALD","Metal Mediated","Br[c:1]1[n:9][c:8]([c:4]2[cH:3][cH:2]1)[cH:7]c[cH:6][c:5]2[C:10]#[N:11].[CH3:12][C:13]([O:16][C:17]([N:19]1[CH2:24][C@H:22]([NH2:23])[CH2:21][CH2:20]1)=[O:18])([CH3:15])[CH3:14]>>[CH3:12][C:13]([O:16][C:17]([N:19]1[CH2:24][C@H:22]([NH:23][c:4]2[cH:10][n:11][c:1]([N:9]3[CH2:6][CH2:5]O[CH2:7][CH2:8]3)[cH:2][cH:3]2)[CH2:21][CH2:20]1)=[O:18])([CH3:15])[CH3:14]","PF-07093146","CC(C)(C)OC(=O)N1CC[C@H](C1)Nc2ccc(nc2)N3CCOCC3",96,254,148869.588298444,"","Dioxane",120,NA,0.125,"","","","","",0.125,"MFCD25976528","c1c(c(ccc1)[Pd+])c1ccccc1N.[O-]S(C)(=O)=O.c1c(c(c(cc1C(C)C)C(C)C)c1c(ccc(c1P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C",NA,NA,"tBuBrettPhos  Pd G3",1,"PF-05314903","c1cc(c2c(c1)nc(cc2)Br)C#N",1,"MFCD03419272","N1(C[C@@H](CC1)N)C(OC(C)(C)C)=O",NA,NA,NA,NA,"MFCD00064808","KOtPn",NA,"","","Pd coupling","N#Cc1cccc2nc(Br)ccc12","CC(C)(C)OC(=O)N1CC[C@@H](N)C1","N#Cc1cccc2nc(Br)ccc12","CC(C)(C)OC(=O)N1CC[C@@H](N)C1","c1c(c(ccc1)[Pd+])c1ccccc1N.[O-]S(C)(=O)=O.c1c(c(c(cc1C(C)C)C(C)C)c1c(ccc(c1P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C",""
"4","95__PF-06828598__MFCD00024023__","SCRN_98","00119131-2440","RKB-03769470","BUCHWALD","Metal Mediated","[O:1]=[C:2]1[c:21]([c:5]2[CH2:4][NH:3]1)[cH:20][cH:19][cH:18][c:6]2[O:7][CH2:8][CH2:9][CH2:10][CH2:11][N:12]3[CH2:17][CH2:16][NH:15][CH2:14][CH2:13]3.Br[c:22]1[cH:31][c:30]([c:25]2[cH:24][cH:23]1)[cH:29][cH:28][cH:27][n:26]2>>[O:1]=[C:2]1[c:21]([c:5]2[CH2:4][NH:3]1)[cH:20][cH:19][cH:18][c:6]2[O:7][CH2:8][CH2:9][CH2:10][CH2:11][N:12]3[CH2:17][CH2:16][N:15]([c:22]4[cH:31][c:30]([c:25]5[cH:24][cH:23]4)[cH:29][cH:28][cH:27][n:26]5)[CH2:14][CH2:13]3","PF-07013203","O=C1NCc2c(OCCCCN3CCN(CC3)c4ccc5ncccc5c4)cccc12",95,225,76160.7482144331,"","t-AmOH",110,18,0.125,"MFCD00012453","C(O[Pd]OC(C)=O)(C)=O","MFCD04117682","c1(c2c(P(C3CCCCC3)C3CCCCC3)cccc2)c(cc(cc1C(C)C)C(C)C)C(C)C","Pd(OAc)2",0.25,"MFCD04117682","c1(c2c(P(C3CCCCC3)C3CCCCC3)cccc2)c(cc(cc1C(C)C)C(C)C)C(C)C",NA,NA,"Pd(OAc)2/XPhos",1,"PF-06828598","C1CN(CCN1)CCCCOc1cccc2c1CNC2=O",NA,"MFCD00024023","c12c(ccc(c1)Br)nccc2",NA,NA,NA,3,"MFCD00050479","LiOBut",NA,"","","Pd coupling","O=C1NCc2c(OCCCCN3CCNCC3)cccc21","Brc1ccc2ncccc2c1","Brc1ccc2ncccc2c1","O=C1NCc2c(OCCCCN3CCNCC3)cccc21","C(O[Pd]OC(C)=O)(C)=O","c1(c2c(P(C3CCCCC3)C3CCCCC3)cccc2)c(cc(cc1C(C)C)C(C)C)C(C)C"
"5","95__PF-06828598__MFCD00024023__","SCRN_98","00119131-2440","RKB-03769471","BUCHWALD","Metal Mediated","[O:1]=[C:2]1[c:21]([c:5]2[CH2:4][NH:3]1)[cH:20][cH:19][cH:18][c:6]2[O:7][CH2:8][CH2:9][CH2:10][CH2:11][N:12]3[CH2:17][CH2:16][NH:15][CH2:14][CH2:13]3.Br[c:22]1[cH:31][c:30]([c:25]2[cH:24][cH:23]1)[cH:29][cH:28][cH:27][n:26]2>>[O:1]=[C:2]1[c:21]([c:5]2[CH2:4][NH:3]1)[cH:20][cH:19][cH:18][c:6]2[O:7][CH2:8][CH2:9][CH2:10][CH2:11][N:12]3[CH2:17][CH2:16][N:15]([c:22]4[cH:31][c:30]([c:25]5[cH:24][cH:23]4)[cH:29][cH:28][cH:27][n:26]5)[CH2:14][CH2:13]3","PF-07013203","O=C1NCc2c(OCCCCN3CCN(CC3)c4ccc5ncccc5c4)cccc12",95,225,101855.90734512,"","t-AmOH",110,18,0.125,"MFCD00012453","C(O[Pd]OC(C)=O)(C)=O","MFCD08543435","[Fe].C1CCC(C1[C@@H](C)P(C(C)(C)C)C(C)(C)C)P(C1CCCCC1)C1CCCCC1.C1CCCC1","Pd(OAc)2",0.25,"MFCD08543435","[Fe].C1CCC(C1[C@@H](C)P(C(C)(C)C)C(C)(C)C)P(C1CCCCC1)C1CCCCC1.C1CCCC1",NA,NA,"Pd(OAc)2/R-Josiphos SL-J009-1",1,"PF-06828598","C1CN(CCN1)CCCCOc1cccc2c1CNC2=O",NA,"MFCD00024023","c12c(ccc(c1)Br)nccc2",NA,NA,NA,3,"MFCD00010957","Cs2CO3",NA,"","","Pd coupling","O=C1NCc2c(OCCCCN3CCNCC3)cccc21","Brc1ccc2ncccc2c1","Brc1ccc2ncccc2c1","O=C1NCc2c(OCCCCN3CCNCC3)cccc21","C(O[Pd]OC(C)=O)(C)=O","[Fe].C1CCC(C1[C@@H](C)P(C(C)(C)C)C(C)(C)C)P(C1CCCCC1)C1CCCCC1.C1CCCC1"
"6","95__PF-06670192__MFCD05667135__","SCRN_346","00119131-1227","RKB-03542472","BUCHWALD","Metal Mediated","[CH3:1][N:2]([C:23]([O:25][C:26]([CH3:29])([CH3:28])[CH3:27])=[O:24])[C@H:3]1[CH2:6][C@H:5]([O:7][c:8]2[c:22]([c:12]3[n:11][c:10](Cl)[n:9]2)[c:15]([c:16]4[n:21][cH:20][cH:19][cH:18][cH:17]4)[cH:14][nH:13]3)[CH2:4]1.[CH3:30][n:31]1[n:36][cH:35][c:33]([NH2:34])[cH:32]1>>[CH3:1][N:2]([C:23]([O:25][C:26]([CH3:29])([CH3:28])[CH3:27])=[O:24])[C@H:3]1[CH2:6][C@H:5]([O:7][c:8]2[c:22]([c:12]3[n:11][c:10]([NH:34][c:33]4[cH:32][n:31]([CH3:30])[n:36][cH:35]4)[n:9]2)[c:15]([c:16]5[n:21][cH:20][cH:19][cH:18][cH:17]5)[cH:14][nH:13]3)[CH2:4]1","PF-06671527","CN([C@@H]1C[C@H](C1)Oc2nc(Nc3cnn(C)c3)nc4[nH]cc(c5ccccn5)c24)C(=O)OC(C)(C)C",95,280,12994924,"","t-AmOH",110,18,NA,"","","MFCD05861622","C1(C(CCC1)[Pd]Cl)CN(C)C.P(C1[C@H]2C[C@@H](C1)CC2)C1[C@@H]2C[C@H](C1)CC2.C1CCCC1.[Fe]","",0.063,"MFCD05861622","C1(C(CCC1)[Pd]Cl)CN(C)C.P(C1[C@H]2C[C@@H](C1)CC2)C1[C@@H]2C[C@H](C1)CC2.C1CCCC1.[Fe]",NA,NA,"SK-CC02-A",1,"PF-06670192","n1c(nc2c(c1O[C@@H]1C[C@H](C1)N(C(OC(C)(C)C)=O)C)c(c[nH]2)c1ncccc1)Cl",2,"MFCD05667135","c1c(cn(C)n1)N",NA,NA,NA,NA,"MFCD00064808","KOPnt",NA,"","","Pd coupling","CN(C(=O)OC(C)(C)C)[C@H]1C[C@H](Oc2nc(Cl)nc3[nH]cc(-c4ccccn4)c23)C1","Cn1cc(N)cn1","CN(C(=O)OC(C)(C)C)[C@H]1C[C@H](Oc2nc(Cl)nc3[nH]cc(-c4ccccn4)c23)C1","Cn1cc(N)cn1","C1(C(CCC1)[Pd]Cl)CN(C)C.P(C1[C@H]2C[C@@H](C1)CC2)C1[C@@H]2C[C@H](C1)CC2.C1CCCC1.[Fe]",""
"7","95__PF-01045725__MFCD00015000__","SCRN_9","00119131-2691","RKB-04002204","BUCHWALD","Metal Mediated","[CH3:1][c:2]1[cH:7][c:6](Br)[n:5][cH:4][cH:3]1.[CH3:8][C:9]([O:12][C:13]([NH:15][NH:16][C:17]([O:19][C:20]([CH3:23])([CH3:22])[CH3:21])=[O:18])=[O:14])([CH3:11])[CH3:10]>>[CH3:1][c:2]1[cH:7][c:6]([N:15]([C:13]([O:12][C:9]([CH3:11])([CH3:10])[CH3:8])=[O:14])[NH:16][C:17]([O:19][C:20]([CH3:23])([CH3:22])[CH3:21])=[O:18])[n:5][cH:4][cH:3]1","PF-07094640","Cc1ccnc(c1)N(NC(=O)OC(C)(C)C)C(=O)OC(C)(C)C",95,280,1232.05008333333,"","Dioxane",110,NA,0.0625,"MFCD00012453","C(O[Pd]OC(C)=O)(C)=O","MFCD06411306","c1(c2c(P(C(C)(C)C)C(C)(C)C)cccc2)c(cc(cc1C(C)C)C(C)C)C(C)C","Pd(OAc)2",0.125,"MFCD06411306","c1(c2c(P(C(C)(C)C)C(C)(C)C)cccc2)c(cc(cc1C(C)C)C(C)C)C(C)C",NA,NA,"Pd(OAc)2/tBuXPhos",1,"PF-01045725","c1c(ccnc1Br)C",2,"MFCD00015000","C(OC(NNC(OC(C)(C)C)=O)=O)(C)(C)C",NA,NA,NA,NA,"MFCD00064245","NaOtPn",NA,"","","Pd coupling","Cc1ccnc(Br)c1","CC(C)(C)OC(=O)NNC(=O)OC(C)(C)C","Cc1ccnc(Br)c1","CC(C)(C)OC(=O)NNC(=O)OC(C)(C)C","C(O[Pd]OC(C)=O)(C)=O","c1(c2c(P(C(C)(C)C)C(C)(C)C)cccc2)c(cc(cc1C(C)C)C(C)C)C(C)C"
"8","93__PF-06670192__MFCD05667135__","SCRN_346","00119131-1227","RKB-03542473","BUCHWALD","Metal Mediated","[CH3:1][N:2]([C:23]([O:25][C:26]([CH3:29])([CH3:28])[CH3:27])=[O:24])[C@H:3]1[CH2:6][C@H:5]([O:7][c:8]2[c:22]([c:12]3[n:11][c:10](Cl)[n:9]2)[c:15]([c:16]4[n:21][cH:20][cH:19][cH:18][cH:17]4)[cH:14][nH:13]3)[CH2:4]1.[CH3:30][n:31]1[n:36][cH:35][c:33]([NH2:34])[cH:32]1>>[CH3:1][N:2]([C:23]([O:25][C:26]([CH3:29])([CH3:28])[CH3:27])=[O:24])[C@H:3]1[CH2:6][C@H:5]([O:7][c:8]2[c:22]([c:12]3[n:11][c:10]([NH:34][c:33]4[cH:32][n:31]([CH3:30])[n:36][cH:35]4)[n:9]2)[c:15]([c:16]5[n:21][cH:20][cH:19][cH:18][cH:17]5)[cH:14][nH:13]3)[CH2:4]1","PF-06671527","CN([C@@H]1C[C@H](C1)Oc2nc(Nc3cnn(C)c3)nc4[nH]cc(c5ccccn5)c24)C(=O)OC(C)(C)C",93,280,24074866,"","t-AmOH",110,18,NA,"","","MFCD12545956","c1(cc(cc(c1c1c(ccc(c1P(C1CCCCC1)C1CCCCC1)OC)OC)C(C)C)C(C)C)C(C)C.c1(c(cccc1)[Pd]Cl)CCN","",0.063,"MFCD12545956","c1(cc(cc(c1c1c(ccc(c1P(C1CCCCC1)C1CCCCC1)OC)OC)C(C)C)C(C)C)C(C)C.c1(c(cccc1)[Pd]Cl)CCN",NA,NA,"BrettPhos Palladacycle",1,"PF-06670192","n1c(nc2c(c1O[C@@H]1C[C@H](C1)N(C(OC(C)(C)C)=O)C)c(c[nH]2)c1ncccc1)Cl",2,"MFCD05667135","c1c(cn(C)n1)N",NA,NA,NA,NA,"MFCD00064808","KOPnt",NA,"","","Pd coupling","CN(C(=O)OC(C)(C)C)[C@H]1C[C@H](Oc2nc(Cl)nc3[nH]cc(-c4ccccn4)c23)C1","Cn1cc(N)cn1","CN(C(=O)OC(C)(C)C)[C@H]1C[C@H](Oc2nc(Cl)nc3[nH]cc(-c4ccccn4)c23)C1","Cn1cc(N)cn1","c1(cc(cc(c1c1c(ccc(c1P(C1CCCCC1)C1CCCCC1)OC)OC)C(C)C)C(C)C)C(C)C.c1(c(cccc1)[Pd]Cl)CCN",""
"9","92__PF-06828598__MFCD00024023__","SCRN_98","00119131-2440","RKB-03769472","BUCHWALD","Metal Mediated","[O:1]=[C:2]1[c:21]([c:5]2[CH2:4][NH:3]1)[cH:20][cH:19][cH:18][c:6]2[O:7][CH2:8][CH2:9][CH2:10][CH2:11][N:12]3[CH2:17][CH2:16][NH:15][CH2:14][CH2:13]3.Br[c:22]1[cH:31][c:30]([c:25]2[cH:24][cH:23]1)[cH:29][cH:28][cH:27][n:26]2>>[O:1]=[C:2]1[c:21]([c:5]2[CH2:4][NH:3]1)[cH:20][cH:19][cH:18][c:6]2[O:7][CH2:8][CH2:9][CH2:10][CH2:11][N:12]3[CH2:17][CH2:16][N:15]([c:22]4[cH:31][c:30]([c:25]5[cH:24][cH:23]4)[cH:29][cH:28][cH:27][n:26]5)[CH2:14][CH2:13]3","PF-07013203","O=C1NCc2c(OCCCCN3CCN(CC3)c4ccc5ncccc5c4)cccc12",92,225,31623.5308802854,"","t-AmOH",110,18,NA,"","","MFCD22572666","c1(c(c(ccc1OC)OC)P(C1CCCCC1)C1CCCCC1)c1c(cc(cc1C(C)C)C(C)C)C(C)C.c1(ccccc1c1ccccc1N)[Pd+].[O-]S(C)(=O)=O","",0.125,"MFCD22572666","c1(c(c(ccc1OC)OC)P(C1CCCCC1)C1CCCCC1)c1c(cc(cc1C(C)C)C(C)C)C(C)C.c1(ccccc1c1ccccc1N)[Pd+].[O-]S(C)(=O)=O",NA,NA,"3G OMs BrettPhos",1,"PF-06828598","C1CN(CCN1)CCCCOc1cccc2c1CNC2=O",NA,"MFCD00024023","c12c(ccc(c1)Br)nccc2",NA,NA,NA,3,"MFCD00064808","KOtPn",NA,"","","Pd coupling","O=C1NCc2c(OCCCCN3CCNCC3)cccc21","Brc1ccc2ncccc2c1","Brc1ccc2ncccc2c1","O=C1NCc2c(OCCCCN3CCNCC3)cccc21","c1(c(c(ccc1OC)OC)P(C1CCCCC1)C1CCCCC1)c1c(cc(cc1C(C)C)C(C)C)C(C)C.c1(ccccc1c1ccccc1N)[Pd+].[O-]S(C)(=O)=O",""
"10","92__PF-06695330__PF-03651713__","SCRN_402","00119131-1334","RKB-03546333","BUCHWALD","Metal Mediated","[CH3:1][n:2]1[n:16][cH:15][c:4]([NH:5][c:6]2[c:14]([c:10]3[n:9][c:8](Cl)[n:7]2)[n:13][cH:12][nH:11]3)[cH:3]1.[CH3:17][C:18]([O:21][C:22]([N:24]1[CH2:31][C@@H:30]([C@H:26]2[CH2:25]1)[CH2:29][NH:28][CH2:27]2)=[O:23])([CH3:20])[CH3:19]>>[CH3:1][n:2]1[n:16][cH:15][c:4]([NH:5][c:6]2[c:14]([c:10]3[n:9][c:8]([N:28]4[CH2:27][C@@H:26]([C@H:30]5[CH2:29]4)[CH2:25][N:24]([C:22]([O:21][C:18]([CH3:20])([CH3:19])[CH3:17])=[O:23])[CH2:31]5)[n:7]2)[n:13][cH:12][nH:11]3)[cH:3]1","PF-06727065","Cn1cc(Nc2nc(nc3[nH]cnc23)N4C[C@H]5CN(C[C@H]5C4)C(=O)OC(C)(C)C)cn1",92,310,20518090,"","THF",100,18,0.063,"MFCD00012453","C(O[Pd]OC(C)=O)(C)=O","PF-04862121","c1(c2c(c(c3ccccc3)n(n2)c2ccccc2)n2c(ccn2)P(C(C)C)C(C)C)ccccc1","Pd(OAc)2",0.125,"PF-04862121","c1(c2c(c(c3ccccc3)n(n2)c2ccccc2)n2c(ccn2)P(C(C)C)C(C)C)ccccc1",NA,NA,"iPr-BiPPyPhos",1,"PF-06695330","n1c(nc2c(c1Nc1cn(nc1)C)nc[nH]2)Cl",2,"PF-03651713","C1[C@@H]2[C@H](CN1C(=O)OC(C)(C)C)CNC2",NA,NA,NA,5,"MFCD00008261","LiHMDS",NA,"","","Pd coupling","Cn1cc(Nc2nc(Cl)nc3[nH]cnc23)cn1","CC(C)(C)OC(=O)N1C[C@@H]2CNC[C@@H]2C1","Cn1cc(Nc2nc(Cl)nc3[nH]cnc23)cn1","CC(C)(C)OC(=O)N1C[C@@H]2CNC[C@@H]2C1","C(O[Pd]OC(C)=O)(C)=O","c1(c2c(c(c3ccccc3)n(n2)c2ccccc2)n2c(ccn2)P(C(C)C)C(C)C)ccccc1"
