,yie_react,SCREEN_ID,NOTEBOOK_ID,REACTION_ID,KeyWord_STD,ReactionGroup,RXN_SMILES,PCAT_CMPD_ID,PRODUCT_STRUCTURE,Product_Yield_PCT_Area_UV,Product_UV_Analysis_Wavelength_nm,Product_Yield_Mass_Ion_Count,Product_Selectivity,Solvent_1_Name,Reaction_T,Reaction_Time_hrs,Catalyst_1_eq,Catalyst_1_ID[1],catalyst_1_ID_1_SMILES,Catalyst_1_ID[2],catalyst_1_ID_2_SMILES,Catalyst_1_Short_Hand,Catalyst_2_eq,Catalyst_2_ID[1],catalyst_2_ID_1_SMILES,Catalyst_2_ID[2],catalyst_2_ID_2_SMILES,Catalyst_2_Short_Hand,Reactant_1_eq,Reactant_1_ID,Reactant_1_SMILES,Reactant_2_eq,Reactant_2_ID,reactant_2_SMILES,Reactant_3_eq,Reactant_3_ID,reactant_3_SMILES,Reagent_1_eq,Reagent_1_ID,Reagent_1_Short_Hand,Reagent_2_eq,Reagent_2_ID,Reagent_2_Short_Hand,ReactionClass,catalyst,ligand
0,99__PF-07212422____,SCRN_208,00119131-2913,RKB-04060010,HYDROGENATION,Metal Mediated,[CH3:1][C:2]([CH2:7][CH:6]=[C:5]([O:8][Si:9]([C:12]([CH3:15])([CH3:14])[CH3:13])([CH3:11])[CH3:10])[CH2:4]1)=[CH:3]1>>[CH3:1][C@H:2]1[CH2:7][CH:6]=[C:5]([O:8][Si:9]([C:12]([CH3:15])([CH3:14])[CH3:13])([CH3:11])[CH3:10])[CH2:4][CH2:3]1,PF-07222543,C[C@@H]1CCC(=CC1)O[Si](C)(C)C(C)(C)C,99,,4997282.0,0.108198955962955,"±,±,±-Trifluorotoluene",25.0,18.0,0.0625,MFCD00012414,C1CC=CCCC=C1.C1CC=CCCC=C1.Cl[Ir].Cl[Ir],,,[Ir(COD)Cl]2,0.125,MFCD01863518,N([C@@H]1[C@@H](NS(c2ccc(cc2)C)(=O)=O)CCCC1)S(c1ccc(cc1)C)(=O)=O,,,"N,N-DTsCHN",1.0,PF-07212422,C1C=C(CC=C1O[Si](C)(C)C(C)(C)C)C,,,,,,,,,,0.1,MFCD00036295,1M K3PO4(aq.),Hydrogenation,C1CC=CCCC=C1.C1CC=CCCC=C1.Cl[Ir].Cl[Ir],N([C@@H]1[C@@H](NS(c2ccc(cc2)C)(=O)=O)CCCC1)S(c1ccc(cc1)C)(=O)=O
9,99__PF-06925979____,SCRN_211,00119131-2304,RKB-03715127,HYDROGENATION,Metal Mediated,[NH2:1][c:2]1[c:8]([C:9]([c:11]2[cH:16][cH:15][cH:14][cH:13][cH:12]2)=[CH2:10])[cH:7][c:5]([Cl:6])[n:4][n:3]1>>[CH3:10][CH:9]([c:8]1[c:2]([NH2:1])[n:3][n:4][c:5]([Cl:6])[cH:7]1)[c:11]2[cH:16][cH:15][cH:14][cH:13][cH:12]2,PF-06939940,CC(c1ccccc1)c2cc(Cl)nnc2N,99,,81912.8,56.0,DCE,,,0.125,MFCD00012414,C1CC=CCCC=C1.C1CC=CCCC=C1.Cl[Ir].Cl[Ir],,,[Ir(COD)Cl]2,0.25,MFCD08561161,C1CCCC1.[Fe].C[C@@H](C1CCCC1P(c1cccc2c1cccc2)c1cccc2c1cccc2)P(C(C)(C)C)C(C)(C)C,,,SL-J216-2,,PF-06925979,c1(cc(c(nn1)N)C(c1ccccc1)=C)Cl,,,,,,,,,,0.02,,,Hydrogenation,C1CC=CCCC=C1.C1CC=CCCC=C1.Cl[Ir].Cl[Ir],C1CCCC1.[Fe].C[C@@H](C1CCCC1P(c1cccc2c1cccc2)c1cccc2c1cccc2)P(C(C)(C)C)C(C)(C)C
10,99__PF-06925979____,SCRN_211,00119131-2304,RKB-03715134,HYDROGENATION,Metal Mediated,[NH2:1][c:2]1[c:8]([C:9]([c:11]2[cH:16][cH:15][cH:14][cH:13][cH:12]2)=[CH2:10])[cH:7][c:5]([Cl:6])[n:4][n:3]1>>[CH3:10][CH:9]([c:8]1[c:2]([NH2:1])[n:3][n:4][c:5]([Cl:6])[cH:7]1)[c:11]2[cH:16][cH:15][cH:14][cH:13][cH:12]2,PF-06939940,CC(c1ccccc1)c2cc(Cl)nnc2N,99,,82292.3,34.3,DCE,,,0.125,MFCD00216965,C(C[Ru]CC(C)=C)(C)=C.C1CC=CCCC=C1,,,Ru(Me-allyl)2(COD),0.25,,,,,SL-J015-1,,PF-06925979,c1(cc(c(nn1)N)C(c1ccccc1)=C)Cl,,,,,,,,,,0.02,,,Hydrogenation,C(C[Ru]CC(C)=C)(C)=C.C1CC=CCCC=C1,
15,99__PF-06876275____,SCRN_79,00119131-2097,RKB-03666224,HYDROGENATION,Metal Mediated,[CH3:1][N:2]1[S:9](=[O:11])(=[O:10])[C:7](=[CH2:8])[C@:5]([c:12]2[s:29][cH:28][c:14]([NH:15][C:16]([c:18]3[n:27][cH:26][c:21]([O:22][CH:23]([F:25])[F:24])[cH:20][cH:19]3)=[O:17])[n:13]2)([CH3:6])[N:4]=[C:3]1[NH:30][C:31]([O:33][C:34]([CH3:37])([CH3:36])[CH3:35])=[O:32]>>[CH3:8][C@@H:7]1[S:9](=[O:11])(=[O:10])[N:2]([CH3:1])[C:3]([NH:30][C:31]([O:33][C:34]([CH3:37])([CH3:36])[CH3:35])=[O:32])=[N:4][C@@:5]1([c:12]2[s:29][cH:28][c:14]([NH:15][C:16]([c:18]3[n:27][cH:26][c:21]([O:22][CH:23]([F:25])[F:24])[cH:20][cH:19]3)=[O:17])[n:13]2)[CH3:6],PF-06876513,C[C@H]1[C@](C)(N=C(NC(=O)OC(C)(C)C)N(C)S1(=O)=O)c2nc(NC(=O)c3ccc(OC(F)F)cn3)cs2,99,,802091.9,-100,MeOH,25.0,18.0,0.125,,,,,Ir-93,0.25,,,,,"(R,R)-DIPAMP",1.0,PF-06876275,N1(C(=N[C@](C(S1(=O)=O)=C)(C)c1scc(n1)NC(c1ccc(cn1)OC(F)F)=O)NC(OC(C)(C)C)=O)C,,,,,,,,MFCD00011355,I2,,,,Hydrogenation,Ir-93,"(R,R)-DIPAMP"
16,99__PF-06876275____,SCRN_79,00119131-2097,RKB-03666225,HYDROGENATION,Metal Mediated,[CH3:1][N:2]1[S:9](=[O:11])(=[O:10])[C:7](=[CH2:8])[C@:5]([c:12]2[s:29][cH:28][c:14]([NH:15][C:16]([c:18]3[n:27][cH:26][c:21]([O:22][CH:23]([F:25])[F:24])[cH:20][cH:19]3)=[O:17])[n:13]2)([CH3:6])[N:4]=[C:3]1[NH:30][C:31]([O:33][C:34]([CH3:37])([CH3:36])[CH3:35])=[O:32]>>[CH3:8][C@@H:7]1[S:9](=[O:11])(=[O:10])[N:2]([CH3:1])[C:3]([NH:30][C:31]([O:33][C:34]([CH3:37])([CH3:36])[CH3:35])=[O:32])=[N:4][C@@:5]1([c:12]2[s:29][cH:28][c:14]([NH:15][C:16]([c:18]3[n:27][cH:26][c:21]([O:22][CH:23]([F:25])[F:24])[cH:20][cH:19]3)=[O:17])[n:13]2)[CH3:6],PF-06876513,C[C@H]1[C@](C)(N=C(NC(=O)OC(C)(C)C)N(C)S1(=O)=O)c2nc(NC(=O)c3ccc(OC(F)F)cn3)cs2,99,,363209.8,-94.6,MeOH,25.0,18.0,0.125,,,,,Ir-93,0.25,,,,,"(Ra,S)-DTB-Bn-SIPHOX",1.0,PF-06876275,N1(C(=N[C@](C(S1(=O)=O)=C)(C)c1scc(n1)NC(c1ccc(cn1)OC(F)F)=O)NC(OC(C)(C)C)=O)C,,,,,,,,MFCD00011355,I2,,,,Hydrogenation,Ir-93,"(Ra,S)-DTB-Bn-SIPHOX"
17,99__PF-06876275____,SCRN_79,00119131-2097,RKB-03666229,HYDROGENATION,Metal Mediated,[CH3:1][N:2]1[S:9](=[O:11])(=[O:10])[C:7](=[CH2:8])[C@:5]([c:12]2[s:29][cH:28][c:14]([NH:15][C:16]([c:18]3[n:27][cH:26][c:21]([O:22][CH:23]([F:25])[F:24])[cH:20][cH:19]3)=[O:17])[n:13]2)([CH3:6])[N:4]=[C:3]1[NH:30][C:31]([O:33][C:34]([CH3:37])([CH3:36])[CH3:35])=[O:32]>>[CH3:8][C@@H:7]1[S:9](=[O:11])(=[O:10])[N:2]([CH3:1])[C:3]([NH:30][C:31]([O:33][C:34]([CH3:37])([CH3:36])[CH3:35])=[O:32])=[N:4][C@@:5]1([c:12]2[s:29][cH:28][c:14]([NH:15][C:16]([c:18]3[n:27][cH:26][c:21]([O:22][CH:23]([F:25])[F:24])[cH:20][cH:19]3)=[O:17])[n:13]2)[CH3:6],PF-06876513,C[C@H]1[C@](C)(N=C(NC(=O)OC(C)(C)C)N(C)S1(=O)=O)c2nc(NC(=O)c3ccc(OC(F)F)cn3)cs2,99,,568810.0,-92.1,MeOH,25.0,18.0,0.125,,,,,Ir-93,0.25,,,,,"(R)-(+)-MeO-BIPHEP, SL-A101-1",1.0,PF-06876275,N1(C(=N[C@](C(S1(=O)=O)=C)(C)c1scc(n1)NC(c1ccc(cn1)OC(F)F)=O)NC(OC(C)(C)C)=O)C,,,,,,,,MFCD00011355,I2,,,,Hydrogenation,Ir-93,"(R)-(+)-MeO-BIPHEP, SL-A101-1"
18,99__PF-06876275____,SCRN_79,00119131-2097,RKB-03666230,HYDROGENATION,Metal Mediated,[CH3:1][N:2]1[S:9](=[O:11])(=[O:10])[C:7](=[CH2:8])[C@:5]([c:12]2[s:29][cH:28][c:14]([NH:15][C:16]([c:18]3[n:27][cH:26][c:21]([O:22][CH:23]([F:25])[F:24])[cH:20][cH:19]3)=[O:17])[n:13]2)([CH3:6])[N:4]=[C:3]1[NH:30][C:31]([O:33][C:34]([CH3:37])([CH3:36])[CH3:35])=[O:32]>>[CH3:8][C@@H:7]1[S:9](=[O:11])(=[O:10])[N:2]([CH3:1])[C:3]([NH:30][C:31]([O:33][C:34]([CH3:37])([CH3:36])[CH3:35])=[O:32])=[N:4][C@@:5]1([c:12]2[s:29][cH:28][c:14]([NH:15][C:16]([c:18]3[n:27][cH:26][c:21]([O:22][CH:23]([F:25])[F:24])[cH:20][cH:19]3)=[O:17])[n:13]2)[CH3:6],PF-06876513,C[C@H]1[C@](C)(N=C(NC(=O)OC(C)(C)C)N(C)S1(=O)=O)c2nc(NC(=O)c3ccc(OC(F)F)cn3)cs2,99,,339483.8,-95.8,MeOH,25.0,18.0,0.125,,,,,Ir-93,0.25,,,,,(R)-DM-SEGPHOS,1.0,PF-06876275,N1(C(=N[C@](C(S1(=O)=O)=C)(C)c1scc(n1)NC(c1ccc(cn1)OC(F)F)=O)NC(OC(C)(C)C)=O)C,,,,,,,,MFCD00011355,I2,,,,Hydrogenation,Ir-93,(R)-DM-SEGPHOS
25,99__PF-06854155____,SCRN_241,00119131-1918,RKB-03620647,HYDROGENATION,Metal Mediated,[CH3:1][C:2]1([O:7][C@@H:6]2[C@@H:5]([C@@H:10]([C:11]([c:13]3[cH:20][c:18]([F:19])[c:16]([F:17])[cH:15][cH:14]3)=[O:12])[O:9][C@H:8]2[n:21]4[c:31]([c:25]5[c:23]([F:24])[cH:22]4)[n:30][cH:29][n:28][c:26]5[Cl:27])[O:4]1)[CH3:3]>>[CH3:1][C:2]1([O:7][C@H:6]([C@@H:5]2[O:4]1)[C@H:8]([n:21]3[c:31]([c:25]4[c:23]([F:24])[cH:22]3)[n:30][cH:29][n:28][c:26]4[Cl:27])[O:9][C@@H:10]2[C@@H:11]([c:13]5[cH:20][c:18]([F:19])[c:16]([F:17])[cH:15][cH:14]5)[OH:12])[CH3:3],PF-06843792,CC1(C)O[C@@H]2[C@H](O[C@H]([C@@H]2O1)n3cc(F)c4c(Cl)ncnc34)[C@H](O)c5ccc(F)c(F)c5,99,225.0,4685965.65625,84.3720512222864,EtOH,40.0,18.0,0.25,,,,,,0.125,,,,,C1-358,1.0,PF-06854155,O1[C@H]([C@H]2[C@@H]([C@H]1C(=O)c1cc(c(cc1)F)F)OC(O2)(C)C)n1cc(c2c1ncnc2Cl)F,,,,,,,0.0,,None,,,,Hydrogenation,C1-358,
26,99__MFCD00671763__MFCD00070838__,SCRN_144,00119131-2036,RKB-03657095,HYDROGENATION,Metal Mediated,[CH3:1][O:2][c:3]1[c:9]([C:10]([CH3:12])=[O:11])[cH:8][c:6]([F:7])[cH:5][cH:4]1>>[CH3:1][O:2][c:3]1[c:9]([C@@H:10]([OH:11])[CH3:12])[cH:8][c:6]([F:7])[cH:5][cH:4]1,PF-05082279,COc1ccc(F)cc1[C@H](C)O,99,,4871322.125,-50.9653192971713,EtOH,50.0,18.0,0.25,,,,,,0.0625,,,,,C1-351,1.0,MFCD00671763,c1(c(ccc(c1)F)OC)C(C)=O,100.0,MFCD00070838,,,,,,,None,,,,Hydrogenation,C1-351,
27,99__MFCD00671763__MFCD00070838__,SCRN_144,00119131-2036,RKB-03657098,HYDROGENATION,Metal Mediated,[CH3:1][O:2][c:3]1[c:9]([C:10]([CH3:12])=[O:11])[cH:8][c:6]([F:7])[cH:5][cH:4]1>>[CH3:1][O:2][c:3]1[c:9]([C@@H:10]([OH:11])[CH3:12])[cH:8][c:6]([F:7])[cH:5][cH:4]1,PF-05082279,COc1ccc(F)cc1[C@H](C)O,99,,2358990.0625,-35.9059985442392,EtOAc,50.0,18.0,0.25,,,,,,0.0625,,,,,(R)-Nauds Catalys -Ru,1.0,MFCD00671763,c1(c(ccc(c1)F)OC)C(C)=O,100.0,MFCD00070838,,,,,2.0,MFCD00036295,K3PO4,,,,Hydrogenation,(R)-Nauds Catalys -Ru,
