,yie_react,SCREEN_ID,NOTEBOOK_ID,REACTION_ID,KeyWord_STD,ReactionGroup,RXN_SMILES,PCAT_CMPD_ID,PRODUCT_STRUCTURE,Product_Yield_PCT_Area_UV,Product_UV_Analysis_Wavelength_nm,Product_Yield_Mass_Ion_Count,Product_Selectivity,Solvent_1_Name,Reaction_T,Reaction_Time_hrs,Catalyst_1_eq,Catalyst_1_ID[1],catalyst_1_ID_1_SMILES,Catalyst_1_ID[2],catalyst_1_ID_2_SMILES,Catalyst_1_Short_Hand,Catalyst_2_eq,Catalyst_2_ID[1],catalyst_2_ID_1_SMILES,Catalyst_2_ID[2],catalyst_2_ID_2_SMILES,Catalyst_2_Short_Hand,Reactant_1_eq,Reactant_1_ID,Reactant_1_SMILES,Reactant_2_eq,Reactant_2_ID,reactant_2_SMILES,Reactant_3_eq,Reactant_3_ID,reactant_3_SMILES,Reagent_1_eq,Reagent_1_ID,Reagent_1_Short_Hand,Reagent_2_eq,Reagent_2_ID,Reagent_2_Short_Hand,ReactionClass,react_1_canon,react_2_canon,halide,nuc,catalyst,ligand
0,97__PF-01041290__MFCD00001053__,SCRN_132,00119131-2482,RKB-03810109,ULLMANN,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][nH:8][cH:7]1)=[O:5].[Cl:12][c:13]1[cH:18][cH:17][c:16](I)[cH:15][cH:14]1>>[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][n:8]([c:16]2[cH:17][cH:18][c:13]([Cl:12])[cH:14][cH:15]2)[cH:7]1)=[O:5],PF-03148214,CCOC(=O)c1cn(nc1O)c2ccc(Cl)cc2,97,280.0,3655678.5,17.3669265500235,DMSO,110.0,18.0,0.25,MFCD00010978,[Cu]I,PNU-0043218,c1(c(c(c(c(c1C)C)NC(C(O)=O)=O)C)C)NC(C(O)=O)=O,CuI,0.25,PNU-0043218,c1(c(c(c(c(c1C)C)NC(C(O)=O)=O)C)C)NC(C(O)=O)=O,,,DMPAO-MeDimer,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,2.0,MFCD00001053,c1(ccc(cc1)I)Cl,,,,5.0,MFCD00011382,K2CO3,,,,Cu coupling,CCOC(=O)c1c[nH]nc1O,Clc1ccc(I)cc1,Clc1ccc(I)cc1,CCOC(=O)c1c[nH]nc1O,[Cu]I,c1(c(c(c(c(c1C)C)NC(C(O)=O)=O)C)C)NC(C(O)=O)=O
1,95__PF-01041290__MFCD00001053__,SCRN_132,00119131-2482,RKB-03810110,ULLMANN,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][nH:8][cH:7]1)=[O:5].[Cl:12][c:13]1[cH:18][cH:17][c:16](I)[cH:15][cH:14]1>>[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][n:8]([c:16]2[cH:17][cH:18][c:13]([Cl:12])[cH:14][cH:15]2)[cH:7]1)=[O:5],PF-03148214,CCOC(=O)c1cn(nc1O)c2ccc(Cl)cc2,95,280.0,3079628.125,26.5040726305226,DMSO,110.0,18.0,0.25,MFCD00010978,[Cu]I,PF-04672526,c1ccc(c(c1C(C)C)NC(C(=O)O)=O)C(C)C,CuI,0.25,PF-04672526,c1ccc(c(c1C(C)C)NC(C(=O)O)=O)C(C)C,,,DMPAO-iPr,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,2.0,MFCD00001053,c1(ccc(cc1)I)Cl,,,,5.0,MFCD00011382,K2CO3,,,,Cu coupling,CCOC(=O)c1c[nH]nc1O,Clc1ccc(I)cc1,Clc1ccc(I)cc1,CCOC(=O)c1c[nH]nc1O,[Cu]I,c1ccc(c(c1C(C)C)NC(C(=O)O)=O)C(C)C
2,95__PF-01041290__MFCD00001053__,SCRN_132,00119131-2482,RKB-03810111,ULLMANN,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][nH:8][cH:7]1)=[O:5].[Cl:12][c:13]1[cH:18][cH:17][c:16](I)[cH:15][cH:14]1>>[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][n:8]([c:16]2[cH:17][cH:18][c:13]([Cl:12])[cH:14][cH:15]2)[cH:7]1)=[O:5],PF-03148214,CCOC(=O)c1cn(nc1O)c2ccc(Cl)cc2,95,280.0,3126979.125,29.6344279241071,DMSO,110.0,18.0,0.25,MFCD00010978,[Cu]I,MCP-91301,c1(c(cccc1C)CC)NC(C(O)=O)=O,CuI,0.25,MCP-91301,c1(c(cccc1C)CC)NC(C(O)=O)=O,,,DMPAO-EtMe,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,2.0,MFCD00001053,c1(ccc(cc1)I)Cl,,,,5.0,MFCD00011382,K2CO3,,,,Cu coupling,CCOC(=O)c1c[nH]nc1O,Clc1ccc(I)cc1,Clc1ccc(I)cc1,CCOC(=O)c1c[nH]nc1O,[Cu]I,c1(c(cccc1C)CC)NC(C(O)=O)=O
3,95__PF-01041290__MFCD00001053__,SCRN_132,00119131-2482,RKB-03810112,ULLMANN,Metal Mediated,[Cl:1][c:2]1[cH:7][cH:6][c:5](I)[cH:4][cH:3]1.[CH3:8][CH2:9][O:10][C:11]([c:13]1[c:17]([OH:18])[n:16][nH:15][cH:14]1)=[O:12]>>[CH3:8][CH2:9][O:10][C:11]([c:13]1[c:17]([OH:18])[n:16][n:15]([c:5]2[cH:6][cH:7][c:2]([Cl:1])[cH:3][cH:4]2)[cH:14]1)=[O:12],PF-03148214,CCOC(=O)c1cn(nc1O)c2ccc(Cl)cc2,95,280.0,3257447.75,23.2462132355001,DMSO,110.0,18.0,0.25,MFCD00010978,[Cu]I,MFCD10018453,N(C(C(=O)O)=O)c1c(cccc1C)C,CuI,0.25,MFCD10018453,N(C(C(=O)O)=O)c1c(cccc1C)C,,,DMPAO,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,2.0,MFCD00001053,c1(ccc(cc1)I)Cl,,,,5.0,MFCD00011382,K2CO3,,,,Cu coupling,CCOC(=O)c1c[nH]nc1O,Clc1ccc(I)cc1,Clc1ccc(I)cc1,CCOC(=O)c1c[nH]nc1O,[Cu]I,N(C(C(=O)O)=O)c1c(cccc1C)C
4,94__PF-01041290__MFCD00001053__,SCRN_132,00119131-2482,RKB-03810113,ULLMANN,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][nH:8][cH:7]1)=[O:5].[Cl:12][c:13]1[cH:18][cH:17][c:16](I)[cH:15][cH:14]1>>[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][n:8]([c:16]2[cH:17][cH:18][c:13]([Cl:12])[cH:14][cH:15]2)[cH:7]1)=[O:5],PF-03148214,CCOC(=O)c1cn(nc1O)c2ccc(Cl)cc2,94,280.0,1367892.8125,7.57200685269336,DMSO,110.0,18.0,0.25,MFCD00010978,[Cu]I,MFCD00004973,c12c3c(ccc1ccc(n2)C)ccc(n3)C,CuI,0.25,MFCD00004973,c12c3c(ccc1ccc(n2)C)ccc(n3)C,,,DMPHEN,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,2.0,MFCD00001053,c1(ccc(cc1)I)Cl,,,,5.0,MFCD00011382,K2CO3,,,,Cu coupling,CCOC(=O)c1c[nH]nc1O,Clc1ccc(I)cc1,Clc1ccc(I)cc1,CCOC(=O)c1c[nH]nc1O,[Cu]I,c12c3c(ccc1ccc(n2)C)ccc(n3)C
5,93__PF-01041290__MFCD00001053__,SCRN_132,00119131-2482,RKB-03810114,ULLMANN,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][nH:8][cH:7]1)=[O:5].[Cl:12][c:13]1[cH:18][cH:17][c:16](I)[cH:15][cH:14]1>>[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][n:8]([c:16]2[cH:17][cH:18][c:13]([Cl:12])[cH:14][cH:15]2)[cH:7]1)=[O:5],PF-03148214,CCOC(=O)c1cn(nc1O)c2ccc(Cl)cc2,93,280.0,3764235.25,2.28291390661623,DMSO,110.0,18.0,0.25,MFCD00010978,[Cu]I,MFCD00130127,I1(c2c(C(O1)=O)cccc2)(OC(C)=O)(OC(C)=O)OC(C)=O,CuI,0.25,MFCD00130127,C1(C(CCCC1)=O)C(C)=O,,,2AcCyHex,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,2.0,MFCD00001053,c1(ccc(cc1)I)Cl,,,,5.0,MFCD00011382,K2CO3,,,,Cu coupling,CCOC(=O)c1c[nH]nc1O,Clc1ccc(I)cc1,Clc1ccc(I)cc1,CCOC(=O)c1c[nH]nc1O,[Cu]I,C1(C(CCCC1)=O)C(C)=O
6,92__PF-01041290__MFCD00001053__,SCRN_132,00119131-2482,RKB-03810115,ULLMANN,Metal Mediated,[Cl:1][c:2]1[cH:7][cH:6][c:5](I)[cH:4][cH:3]1.[CH3:8][CH2:9][O:10][C:11]([c:13]1[c:17]([OH:18])[n:16][nH:15][cH:14]1)=[O:12]>>[CH3:8][CH2:9][O:10][C:11]([c:13]1[c:17]([OH:18])[n:16][n:15]([c:5]2[cH:6][cH:7][c:2]([Cl:1])[cH:3][cH:4]2)[cH:14]1)=[O:12],PF-03148214,CCOC(=O)c1cn(nc1O)c2ccc(Cl)cc2,92,280.0,3193703.625,12.0440378997284,DMSO,110.0,18.0,0.25,MFCD00010978,[Cu]I,UK-301260,c1(NC(C(NCc2ccc(cc2)C)=O)=O)c(cc(cc1)C)C,CuI,0.25,UK-301260,c1(NC(C(NCc2ccc(cc2)C)=O)=O)c(cc(cc1)C)C,,,UK-301260,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,2.0,MFCD00001053,c1(ccc(cc1)I)Cl,,,,5.0,MFCD00011382,K2CO3,,,,Cu coupling,CCOC(=O)c1c[nH]nc1O,Clc1ccc(I)cc1,Clc1ccc(I)cc1,CCOC(=O)c1c[nH]nc1O,[Cu]I,c1(NC(C(NCc2ccc(cc2)C)=O)=O)c(cc(cc1)C)C
7,91__PF-01041290__MFCD00001053__,SCRN_132,00119131-2482,RKB-03810116,ULLMANN,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][nH:8][cH:7]1)=[O:5].[Cl:12][c:13]1[cH:18][cH:17][c:16](I)[cH:15][cH:14]1>>[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][n:8]([c:16]2[cH:17][cH:18][c:13]([Cl:12])[cH:14][cH:15]2)[cH:7]1)=[O:5],PF-03148214,CCOC(=O)c1cn(nc1O)c2ccc(Cl)cc2,91,280.0,1890258.125,34.1421955268675,DMF,110.0,18.0,0.25,MFCD00010978,[Cu]I,MFCD00004973,c12c3c(ccc1ccc(n2)C)ccc(n3)C,CuI,0.25,MFCD00004973,c12c3c(ccc1ccc(n2)C)ccc(n3)C,,,DMPHEN,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,2.0,MFCD00001053,c1(ccc(cc1)I)Cl,,,,5.0,MFCD00011382,K2CO3,,,,Cu coupling,CCOC(=O)c1c[nH]nc1O,Clc1ccc(I)cc1,Clc1ccc(I)cc1,CCOC(=O)c1c[nH]nc1O,[Cu]I,c12c3c(ccc1ccc(n2)C)ccc(n3)C
8,90__PF-01041290__MFCD00001053__,SCRN_132,00119131-2482,RKB-03810117,ULLMANN,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][nH:8][cH:7]1)=[O:5].[Cl:12][c:13]1[cH:18][cH:17][c:16](I)[cH:15][cH:14]1>>[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][n:8]([c:16]2[cH:17][cH:18][c:13]([Cl:12])[cH:14][cH:15]2)[cH:7]1)=[O:5],PF-03148214,CCOC(=O)c1cn(nc1O)c2ccc(Cl)cc2,90,280.0,3380395.875,14.11402370144,DMSO,110.0,18.0,0.25,MFCD00010978,[Cu]I,MCP-44381,c1(c(cccc1C)C(C)(C)C)NC(C(O)=O)=O,CuI,0.25,MCP-44381,c1(c(cccc1C)C(C)(C)C)NC(C(O)=O)=O,,,DMPAO-tBuMe,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,2.0,MFCD00001053,c1(ccc(cc1)I)Cl,,,,5.0,MFCD00011382,K2CO3,,,,Cu coupling,CCOC(=O)c1c[nH]nc1O,Clc1ccc(I)cc1,Clc1ccc(I)cc1,CCOC(=O)c1c[nH]nc1O,[Cu]I,c1(c(cccc1C)C(C)(C)C)NC(C(O)=O)=O
9,9__PF-06986140__MFCD00005234__,SCRN_192,00119131-2510,RKB-03816346,ULLMANN,Metal Mediated,[cH:1]1[cH:5][nH:4][n:3][cH:2]1.[CH3:6][CH2:7][O:8][c:9]1[c:15](I)[cH:14][c:13]([C:16]#[N:17])[c:11]([Cl:12])[cH:10]1>>[CH3:6][CH2:7][O:8][c:9]1[c:15]([n:4]2[n:3][cH:2][cH:1][cH:5]2)[cH:14][c:13]([C:16]#[N:17])[c:11]([Cl:12])[cH:10]1,PF-06938165,CCOc1cc(Cl)c(cc1n2cccn2)C#N,9,280.0,1290547.6,,Dioxane,110.0,18.0,0.25,MFCD00010978,[Cu]I,MFCD00008290,C(CNC)NC,CuI,0.125,MFCD00008290,C(CNC)NC,,,MeNHCH2CH2NHMe,1.0,PF-06986140,c1c(c(cc(c1Cl)C#N)I)OCC,3.0,MFCD00005234,c1cn[nH]c1,,,,,MFCD00011382,K2CO3,,,,Cu coupling,CCOc1cc(Cl)c(C#N)cc1I,c1cn[nH]c1,CCOc1cc(Cl)c(C#N)cc1I,c1cn[nH]c1,[Cu]I,C(CNC)NC
10,9__PF-06857050__MFCD18308893__,SCRN_73,00119131-2068,RKB-03662061,ULLMANN,Metal Mediated,[CH3:1][O:2][c:3]1[cH:8][cH:7][c:6]([C:9]([CH:21]([c:22]2[cH:27][cH:26][c:25](I)[cH:24][cH:23]2)[O:20][c:19]([c:12]34)[cH:18][c:15]([O:16][CH3:17])[cH:14][cH:13]3)=[C:10]4[CH3:11])[cH:5][cH:4]1.[CH3:28][CH2:29][CH2:30][N:31]1[CH2:35][CH:33]([OH:34])[CH2:32]1>>[CH3:28][CH2:29][CH2:30][N:31]1[CH2:35][CH:33]([O:34][c:25]2[cH:26][cH:27][c:22]([CH:21]3[C:9]([c:6]4[cH:7][cH:8][c:3]([O:2][CH3:1])[cH:4][cH:5]4)=[C:10]([CH3:11])[c:12]([c:19]5[O:20]3)[cH:13][cH:14][c:15]([O:16][CH3:17])[cH:18]5)[cH:23][cH:24]2)[CH2:32]1,PF-06881284,CCCN1CC(C1)Oc2ccc(cc2)C3Oc4cc(OC)ccc4C(=C3c5ccc(OC)cc5)C,9,310.0,25402104.0,,Toluene,100.0,18.0,0.125,MFCD00010978,[Cu]I,MFCD00006312,c1(ccccn1)N,CuI,0.25,MFCD00006312,c1(ccccn1)N,,,2-aminopyridine,1.0,PF-06857050,c1c(cc2c(c1)C(=C([C@H](O2)c1ccc(cc1)I)c1ccc(cc1)OC)C)OC,,MFCD18308893,CCCN1CC(O)C1,,,,3.0,MFCD00064808,KOtPn,,,,Cu coupling,COc1ccc(C2=C(C)c3ccc(OC)cc3O[C@@H]2c2ccc(I)cc2)cc1,CCCN1CC(O)C1,COc1ccc(C2=C(C)c3ccc(OC)cc3O[C@@H]2c2ccc(I)cc2)cc1,CCCN1CC(O)C1,[Cu]I,c1(ccccn1)N
11,9__PF-06857050__MFCD18308893__,SCRN_73,00119131-2068,RKB-03662062,ULLMANN,Metal Mediated,[CH3:1][CH2:2][CH2:3][N:4]1[CH2:8][CH:6]([OH:7])[CH2:5]1.[CH3:9][O:10][c:11]1[cH:16][cH:15][c:14]([C:17]([CH:29]([c:30]2[cH:35][cH:34][c:33](I)[cH:32][cH:31]2)[O:28][c:27]([c:20]34)[cH:26][c:23]([O:24][CH3:25])[cH:22][cH:21]3)=[C:18]4[CH3:19])[cH:13][cH:12]1>>[CH3:1][CH2:2][CH2:3][N:4]1[CH2:8][CH:6]([O:7][c:33]2[cH:34][cH:35][c:30]([CH:29]3[C:17]([c:14]4[cH:15][cH:16][c:11]([O:10][CH3:9])[cH:12][cH:13]4)=[C:18]([CH3:19])[c:20]([c:27]5[O:28]3)[cH:21][cH:22][c:23]([O:24][CH3:25])[cH:26]5)[cH:31][cH:32]2)[CH2:5]1,PF-06881284,CCCN1CC(C1)Oc2ccc(cc2)C3Oc4cc(OC)ccc4C(=C3c5ccc(OC)cc5)C,9,310.0,36537916.0,,Toluene,100.0,18.0,0.125,MFCD00010978,[Cu]I,MFCD00002846,C(N(C)C)CO,CuI,0.25,MFCD00002846,C(N(C)C)CO,,,2-Dimethylaminoethanol,1.0,PF-06857050,c1c(cc2c(c1)C(=C([C@H](O2)c1ccc(cc1)I)c1ccc(cc1)OC)C)OC,,MFCD18308893,CCCN1CC(O)C1,,,,3.0,MFCD00036295,K3PO4,,,,Cu coupling,COc1ccc(C2=C(C)c3ccc(OC)cc3O[C@@H]2c2ccc(I)cc2)cc1,CCCN1CC(O)C1,COc1ccc(C2=C(C)c3ccc(OC)cc3O[C@@H]2c2ccc(I)cc2)cc1,CCCN1CC(O)C1,[Cu]I,C(N(C)C)CO
12,9__PF-05015504__AXL028150__,SCRN_450,00119131-1016,RKB-03546074,ULLMANN,Metal Mediated,[CH3:1][CH2:2][O:3][c:4]1[c:9](I)[cH:8][cH:7][cH:6][cH:5]1.[CH3:10][C:11]([O:14][C:15]([N:17]1[CH2:23][C@H:21]([OH:22])[CH2:20][CH2:19][CH2:18]1)=[O:16])([CH3:13])[CH3:12]>>[CH3:1][CH2:2][O:3][c:4]1[c:9]([O:22][C@H:21]2[CH2:23][N:17]([C:15]([O:14][C:11]([CH3:13])([CH3:12])[CH3:10])=[O:16])[CH2:18][CH2:19][CH2:20]2)[cH:8][cH:7][cH:6][cH:5]1,PF-06459732,CCOc1ccccc1O[C@@H]2CCCN(C2)C(=O)OC(C)(C)C,9,280.0,319834.4,1.7,Toluene,100.0,18.0,0.1,MFCD00010978,[Cu]I,,,CuI,0.2,MFCD00192096,c12c3c(ccc1cccn2)cccn3.[Cu+2].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-],,,Phen(NO2)2Cu,1.0,PF-05015504,c1ccc(c(c1)OCC)I,2.0,AXL028150,N1(C(OC(C)(C)C)=O)C[C@@H](CCC1)O,,,,2.0,MFCD00064808,KOtPn,,,,Cu coupling,CCOc1ccccc1I,CC(C)(C)OC(=O)N1CCC[C@@H](O)C1,CCOc1ccccc1I,CC(C)(C)OC(=O)N1CCC[C@@H](O)C1,[Cu]I,c12c3c(ccc1cccn2)cccn3.[Cu+2].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-]
13,9__PF-05015504__AXL028150__,SCRN_450,00119131-1016,RKB-03546075,ULLMANN,Metal Mediated,[CH3:1][CH2:2][O:3][c:4]1[c:9](I)[cH:8][cH:7][cH:6][cH:5]1.[CH3:10][C:11]([O:14][C:15]([N:17]1[CH2:23][C@H:21]([OH:22])[CH2:20][CH2:19][CH2:18]1)=[O:16])([CH3:13])[CH3:12]>>[CH3:1][CH2:2][O:3][c:4]1[c:9]([O:22][C@H:21]2[CH2:23][N:17]([C:15]([O:14][C:11]([CH3:13])([CH3:12])[CH3:10])=[O:16])[CH2:18][CH2:19][CH2:20]2)[cH:8][cH:7][cH:6][cH:5]1,PF-06459732,CCOc1ccccc1O[C@@H]2CCCN(C2)C(=O)OC(C)(C)C,9,280.0,240422.2,1.4,Dioxane,100.0,18.0,0.1,MFCD00010978,[Cu]I,MFCD00008290,C(CNC)NC,CuI,0.2,MFCD00008290,C(CNC)NC,,,MeNHCH2CH2NHMe,1.0,PF-05015504,c1ccc(c(c1)OCC)I,2.0,AXL028150,N1(C(OC(C)(C)C)=O)C[C@@H](CCC1)O,,,,2.0,MFCD00064808,KOtPn,,,,Cu coupling,CCOc1ccccc1I,CC(C)(C)OC(=O)N1CCC[C@@H](O)C1,CCOc1ccccc1I,CC(C)(C)OC(=O)N1CCC[C@@H](O)C1,[Cu]I,C(CNC)NC
14,9__PF-01041290__MFCD00001053__,SCRN_132,00119131-2482,RKB-03810270,ULLMANN,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][nH:8][cH:7]1)=[O:5].[Cl:12][c:13]1[cH:18][cH:17][c:16](I)[cH:15][cH:14]1>>[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][n:8]([c:16]2[cH:17][cH:18][c:13]([Cl:12])[cH:14][cH:15]2)[cH:7]1)=[O:5],PF-03148214,CCOC(=O)c1cn(nc1O)c2ccc(Cl)cc2,9,280.0,222716.625,66.3536427736367,Dioxane,110.0,18.0,0.25,MFCD00010978,[Cu]I,MFCD00134224,c12c3c(ccc1cccn2)cccn3.[Cu](Cl)Cl,CuI,0.25,MFCD00134224,c12c3c(ccc1cccn2)cccn3.[Cu](Cl)Cl,,,Phen.CuCl2,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,2.0,MFCD00001053,c1(ccc(cc1)I)Cl,,,,5.0,MFCD00011382,K2CO3,,,,Cu coupling,CCOC(=O)c1c[nH]nc1O,Clc1ccc(I)cc1,Clc1ccc(I)cc1,CCOC(=O)c1c[nH]nc1O,[Cu]I,c12c3c(ccc1cccn2)cccn3.[Cu](Cl)Cl
