,Unnamed: 0,yie_react,SCREEN_ID,NOTEBOOK_ID,REACTION_ID,KeyWord_STD,ReactionGroup,RXN_SMILES,PCAT_CMPD_ID,PRODUCT_STRUCTURE,Product_Yield_PCT_Area_UV,Product_UV_Analysis_Wavelength_nm,Product_Yield_Mass_Ion_Count,Product_Selectivity,Solvent_1_Name,Reaction_T,Reaction_Time_hrs,Catalyst_1_eq,Catalyst_1_ID[1],catalyst_1_ID_1_SMILES,Catalyst_1_ID[2],catalyst_1_ID_2_SMILES,Catalyst_1_Short_Hand,Catalyst_2_eq,Catalyst_2_ID[1],catalyst_2_ID_1_SMILES,Catalyst_2_ID[2],catalyst_2_ID_2_SMILES,Catalyst_2_Short_Hand,Reactant_1_eq,Reactant_1_ID,Reactant_1_SMILES,Reactant_2_eq,Reactant_2_ID,reactant_2_SMILES,Reactant_3_eq,Reactant_3_ID,reactant_3_SMILES,Reagent_1_eq,Reagent_1_ID,Reagent_1_Short_Hand,Reagent_2_eq,Reagent_2_ID,Reagent_2_Short_Hand,ReactionClass,react_1_canon,react_2_canon,halide,nuc,catalyst,ligand,Year
0,0,97__PF-01041290__MFCD00001053__,SCRN_132,00119131-2482,RKB-03810109,ULLMANN,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][nH:8][cH:7]1)=[O:5].[Cl:12][c:13]1[cH:18][cH:17][c:16](I)[cH:15][cH:14]1>>[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][n:8]([c:16]2[cH:17][cH:18][c:13]([Cl:12])[cH:14][cH:15]2)[cH:7]1)=[O:5],PF-03148214,CCOC(=O)c1cn(nc1O)c2ccc(Cl)cc2,97,280.0,3655678.5,17.3669265500235,DMSO,110.0,18.0,0.25,MFCD00010978,[Cu]I,PNU-0043218,c1(c(c(c(c(c1C)C)NC(C(O)=O)=O)C)C)NC(C(O)=O)=O,CuI,0.25,PNU-0043218,c1(c(c(c(c(c1C)C)NC(C(O)=O)=O)C)C)NC(C(O)=O)=O,,,DMPAO-MeDimer,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,2.0,MFCD00001053,c1(ccc(cc1)I)Cl,,,,5.0,MFCD00011382,K2CO3,,,,Cu coupling,CCOC(=O)c1c[nH]nc1O,Clc1ccc(I)cc1,Clc1ccc(I)cc1,CCOC(=O)c1c[nH]nc1O,[Cu]I,c1(c(c(c(c(c1C)C)NC(C(O)=O)=O)C)C)NC(C(O)=O)=O,2016
1,1,95__PF-01041290__MFCD00001053__,SCRN_132,00119131-2482,RKB-03810110,ULLMANN,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][nH:8][cH:7]1)=[O:5].[Cl:12][c:13]1[cH:18][cH:17][c:16](I)[cH:15][cH:14]1>>[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][n:8]([c:16]2[cH:17][cH:18][c:13]([Cl:12])[cH:14][cH:15]2)[cH:7]1)=[O:5],PF-03148214,CCOC(=O)c1cn(nc1O)c2ccc(Cl)cc2,95,280.0,3079628.125,26.5040726305226,DMSO,110.0,18.0,0.25,MFCD00010978,[Cu]I,PF-04672526,c1ccc(c(c1C(C)C)NC(C(=O)O)=O)C(C)C,CuI,0.25,PF-04672526,c1ccc(c(c1C(C)C)NC(C(=O)O)=O)C(C)C,,,DMPAO-iPr,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,2.0,MFCD00001053,c1(ccc(cc1)I)Cl,,,,5.0,MFCD00011382,K2CO3,,,,Cu coupling,CCOC(=O)c1c[nH]nc1O,Clc1ccc(I)cc1,Clc1ccc(I)cc1,CCOC(=O)c1c[nH]nc1O,[Cu]I,c1ccc(c(c1C(C)C)NC(C(=O)O)=O)C(C)C,2016
2,2,95__PF-01041290__MFCD00001053__,SCRN_132,00119131-2482,RKB-03810111,ULLMANN,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][nH:8][cH:7]1)=[O:5].[Cl:12][c:13]1[cH:18][cH:17][c:16](I)[cH:15][cH:14]1>>[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][n:8]([c:16]2[cH:17][cH:18][c:13]([Cl:12])[cH:14][cH:15]2)[cH:7]1)=[O:5],PF-03148214,CCOC(=O)c1cn(nc1O)c2ccc(Cl)cc2,95,280.0,3126979.125,29.6344279241071,DMSO,110.0,18.0,0.25,MFCD00010978,[Cu]I,MCP-91301,c1(c(cccc1C)CC)NC(C(O)=O)=O,CuI,0.25,MCP-91301,c1(c(cccc1C)CC)NC(C(O)=O)=O,,,DMPAO-EtMe,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,2.0,MFCD00001053,c1(ccc(cc1)I)Cl,,,,5.0,MFCD00011382,K2CO3,,,,Cu coupling,CCOC(=O)c1c[nH]nc1O,Clc1ccc(I)cc1,Clc1ccc(I)cc1,CCOC(=O)c1c[nH]nc1O,[Cu]I,c1(c(cccc1C)CC)NC(C(O)=O)=O,2016
3,3,95__PF-01041290__MFCD00001053__,SCRN_132,00119131-2482,RKB-03810112,ULLMANN,Metal Mediated,[Cl:1][c:2]1[cH:7][cH:6][c:5](I)[cH:4][cH:3]1.[CH3:8][CH2:9][O:10][C:11]([c:13]1[c:17]([OH:18])[n:16][nH:15][cH:14]1)=[O:12]>>[CH3:8][CH2:9][O:10][C:11]([c:13]1[c:17]([OH:18])[n:16][n:15]([c:5]2[cH:6][cH:7][c:2]([Cl:1])[cH:3][cH:4]2)[cH:14]1)=[O:12],PF-03148214,CCOC(=O)c1cn(nc1O)c2ccc(Cl)cc2,95,280.0,3257447.75,23.2462132355001,DMSO,110.0,18.0,0.25,MFCD00010978,[Cu]I,MFCD10018453,N(C(C(=O)O)=O)c1c(cccc1C)C,CuI,0.25,MFCD10018453,N(C(C(=O)O)=O)c1c(cccc1C)C,,,DMPAO,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,2.0,MFCD00001053,c1(ccc(cc1)I)Cl,,,,5.0,MFCD00011382,K2CO3,,,,Cu coupling,CCOC(=O)c1c[nH]nc1O,Clc1ccc(I)cc1,Clc1ccc(I)cc1,CCOC(=O)c1c[nH]nc1O,[Cu]I,N(C(C(=O)O)=O)c1c(cccc1C)C,2016
4,4,94__PF-01041290__MFCD00001053__,SCRN_132,00119131-2482,RKB-03810113,ULLMANN,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][nH:8][cH:7]1)=[O:5].[Cl:12][c:13]1[cH:18][cH:17][c:16](I)[cH:15][cH:14]1>>[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][n:8]([c:16]2[cH:17][cH:18][c:13]([Cl:12])[cH:14][cH:15]2)[cH:7]1)=[O:5],PF-03148214,CCOC(=O)c1cn(nc1O)c2ccc(Cl)cc2,94,280.0,1367892.8125,7.57200685269336,DMSO,110.0,18.0,0.25,MFCD00010978,[Cu]I,MFCD00004973,c12c3c(ccc1ccc(n2)C)ccc(n3)C,CuI,0.25,MFCD00004973,c12c3c(ccc1ccc(n2)C)ccc(n3)C,,,DMPHEN,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,2.0,MFCD00001053,c1(ccc(cc1)I)Cl,,,,5.0,MFCD00011382,K2CO3,,,,Cu coupling,CCOC(=O)c1c[nH]nc1O,Clc1ccc(I)cc1,Clc1ccc(I)cc1,CCOC(=O)c1c[nH]nc1O,[Cu]I,c12c3c(ccc1ccc(n2)C)ccc(n3)C,2016
5,5,93__PF-01041290__MFCD00001053__,SCRN_132,00119131-2482,RKB-03810114,ULLMANN,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][nH:8][cH:7]1)=[O:5].[Cl:12][c:13]1[cH:18][cH:17][c:16](I)[cH:15][cH:14]1>>[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][n:8]([c:16]2[cH:17][cH:18][c:13]([Cl:12])[cH:14][cH:15]2)[cH:7]1)=[O:5],PF-03148214,CCOC(=O)c1cn(nc1O)c2ccc(Cl)cc2,93,280.0,3764235.25,2.28291390661623,DMSO,110.0,18.0,0.25,MFCD00010978,[Cu]I,MFCD00130127,I1(c2c(C(O1)=O)cccc2)(OC(C)=O)(OC(C)=O)OC(C)=O,CuI,0.25,MFCD00130127,C1(C(CCCC1)=O)C(C)=O,,,2AcCyHex,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,2.0,MFCD00001053,c1(ccc(cc1)I)Cl,,,,5.0,MFCD00011382,K2CO3,,,,Cu coupling,CCOC(=O)c1c[nH]nc1O,Clc1ccc(I)cc1,Clc1ccc(I)cc1,CCOC(=O)c1c[nH]nc1O,[Cu]I,C1(C(CCCC1)=O)C(C)=O,2016
6,6,92__PF-01041290__MFCD00001053__,SCRN_132,00119131-2482,RKB-03810115,ULLMANN,Metal Mediated,[Cl:1][c:2]1[cH:7][cH:6][c:5](I)[cH:4][cH:3]1.[CH3:8][CH2:9][O:10][C:11]([c:13]1[c:17]([OH:18])[n:16][nH:15][cH:14]1)=[O:12]>>[CH3:8][CH2:9][O:10][C:11]([c:13]1[c:17]([OH:18])[n:16][n:15]([c:5]2[cH:6][cH:7][c:2]([Cl:1])[cH:3][cH:4]2)[cH:14]1)=[O:12],PF-03148214,CCOC(=O)c1cn(nc1O)c2ccc(Cl)cc2,92,280.0,3193703.625,12.0440378997284,DMSO,110.0,18.0,0.25,MFCD00010978,[Cu]I,UK-301260,c1(NC(C(NCc2ccc(cc2)C)=O)=O)c(cc(cc1)C)C,CuI,0.25,UK-301260,c1(NC(C(NCc2ccc(cc2)C)=O)=O)c(cc(cc1)C)C,,,UK-301260,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,2.0,MFCD00001053,c1(ccc(cc1)I)Cl,,,,5.0,MFCD00011382,K2CO3,,,,Cu coupling,CCOC(=O)c1c[nH]nc1O,Clc1ccc(I)cc1,Clc1ccc(I)cc1,CCOC(=O)c1c[nH]nc1O,[Cu]I,c1(NC(C(NCc2ccc(cc2)C)=O)=O)c(cc(cc1)C)C,2016
7,7,91__PF-01041290__MFCD00001053__,SCRN_132,00119131-2482,RKB-03810116,ULLMANN,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][nH:8][cH:7]1)=[O:5].[Cl:12][c:13]1[cH:18][cH:17][c:16](I)[cH:15][cH:14]1>>[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][n:8]([c:16]2[cH:17][cH:18][c:13]([Cl:12])[cH:14][cH:15]2)[cH:7]1)=[O:5],PF-03148214,CCOC(=O)c1cn(nc1O)c2ccc(Cl)cc2,91,280.0,1890258.125,34.1421955268675,DMF,110.0,18.0,0.25,MFCD00010978,[Cu]I,MFCD00004973,c12c3c(ccc1ccc(n2)C)ccc(n3)C,CuI,0.25,MFCD00004973,c12c3c(ccc1ccc(n2)C)ccc(n3)C,,,DMPHEN,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,2.0,MFCD00001053,c1(ccc(cc1)I)Cl,,,,5.0,MFCD00011382,K2CO3,,,,Cu coupling,CCOC(=O)c1c[nH]nc1O,Clc1ccc(I)cc1,Clc1ccc(I)cc1,CCOC(=O)c1c[nH]nc1O,[Cu]I,c12c3c(ccc1ccc(n2)C)ccc(n3)C,2016
8,8,90__PF-01041290__MFCD00001053__,SCRN_132,00119131-2482,RKB-03810117,ULLMANN,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][nH:8][cH:7]1)=[O:5].[Cl:12][c:13]1[cH:18][cH:17][c:16](I)[cH:15][cH:14]1>>[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][n:8]([c:16]2[cH:17][cH:18][c:13]([Cl:12])[cH:14][cH:15]2)[cH:7]1)=[O:5],PF-03148214,CCOC(=O)c1cn(nc1O)c2ccc(Cl)cc2,90,280.0,3380395.875,14.11402370144,DMSO,110.0,18.0,0.25,MFCD00010978,[Cu]I,MCP-44381,c1(c(cccc1C)C(C)(C)C)NC(C(O)=O)=O,CuI,0.25,MCP-44381,c1(c(cccc1C)C(C)(C)C)NC(C(O)=O)=O,,,DMPAO-tBuMe,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,2.0,MFCD00001053,c1(ccc(cc1)I)Cl,,,,5.0,MFCD00011382,K2CO3,,,,Cu coupling,CCOC(=O)c1c[nH]nc1O,Clc1ccc(I)cc1,Clc1ccc(I)cc1,CCOC(=O)c1c[nH]nc1O,[Cu]I,c1(c(cccc1C)C(C)(C)C)NC(C(O)=O)=O,2016
9,9,9__PF-06986140__MFCD00005234__,SCRN_192,00119131-2510,RKB-03816346,ULLMANN,Metal Mediated,[cH:1]1[cH:5][nH:4][n:3][cH:2]1.[CH3:6][CH2:7][O:8][c:9]1[c:15](I)[cH:14][c:13]([C:16]#[N:17])[c:11]([Cl:12])[cH:10]1>>[CH3:6][CH2:7][O:8][c:9]1[c:15]([n:4]2[n:3][cH:2][cH:1][cH:5]2)[cH:14][c:13]([C:16]#[N:17])[c:11]([Cl:12])[cH:10]1,PF-06938165,CCOc1cc(Cl)c(cc1n2cccn2)C#N,9,280.0,1290547.6,,Dioxane,110.0,18.0,0.25,MFCD00010978,[Cu]I,MFCD00008290,C(CNC)NC,CuI,0.125,MFCD00008290,C(CNC)NC,,,MeNHCH2CH2NHMe,1.0,PF-06986140,c1c(c(cc(c1Cl)C#N)I)OCC,3.0,MFCD00005234,c1cn[nH]c1,,,,,MFCD00011382,K2CO3,,,,Cu coupling,CCOc1cc(Cl)c(C#N)cc1I,c1cn[nH]c1,CCOc1cc(Cl)c(C#N)cc1I,c1cn[nH]c1,[Cu]I,C(CNC)NC,2016
